Year,Month,Net Income,Total Debt,Total Equity
2019, Jan ,"$80,000 ","$500,000 ","$1,000,000 "
2019, Feb ,"$82,000 ","$510,000 ","$1,020,000 "
2019, Mar ,"$84,000 ","$520,000 ","$1,040,000 "
2019, Apr ,"$86,000 ","$530,000 ","$1,060,000 "
2019, May ,"$88,000 ","$540,000 ","$1,080,000 "
2019, Jun ,"$90,000 ","$550,000 ","$1,100,000 "
2019, Jul ,"$92,000 ","$560,000 ","$1,120,000 "
2019, Aug ,"$94,000 ","$570,000 ","$1,140,000 "
2019, Sep ,"$96,000 ","$580,000 ","$1,160,000 "
2019, Oct ,"$98,000 ","$590,000 ","$1,180,000 "
2019, Nov ,"$100,000 ","$600,000 ","$1,200,000 "
2019, Dec ,"$102,000 ","$610,000 ","$1,220,000 "
2020, Jan ,"$104,000 ","$620,000 ","$1,240,000 "
2020, Feb ,"$106,000 ","$630,000 ","$1,260,000 "
2020, Mar ,"$108,000 ","$640,000 ","$1,280,000 "
2020, Apr ,"$110,000 ","$650,000 ","$1,300,000 "
2020, May ,"$112,000 ","$660,000 ","$1,320,000 "
2020, Jun ,"$114,000 ","$670,000 ","$1,340,000 "
2020, Jul ,"$116,000 ","$680,000 ","$1,360,000 "
2020, Aug ,"$118,000 ","$690,000 ","$1,380,000 "
2020, Sep ,"$120,000 ","$700,000 ","$1,400,000 "
2020, Oct ,"$122,000 ","$710,000 ","$1,420,000 "
2020, Nov ,"$124,000 ","$720,000 ","$1,440,000 "
2020, Dec ,"$126,000 ","$730,000 ","$1,460,000 "
2021, Jan ,"$128,000 ","$740,000 ","$1,480,000 "
2021, Feb ,"$130,000 ","$750,000 ","$1,500,000 "
2021, Mar ,"$132,000 ","$760,000 ","$1,520,000 "
2021, Apr ,"$134,000 ","$770,000 ","$1,540,000 "
2021, May ,"$136,000 ","$780,000 ","$1,560,000 "
2021, Jun ,"$138,000 ","$790,000 ","$1,580,000 "
2021, Jul ,"$140,000 ","$800,000 ","$1,600,000 "
2021, Aug ,"$142,000 ","$810,000 ","$1,620,000 "
2021, Sep ,"$144,000 ","$820,000 ","$1,640,000 "
2021, Oct ,"$146,000 ","$830,000 ","$1,660,000 "
2021, Nov ,"$148,000 ","$840,000 ","$1,680,000 "
2021, Dec ,"$150,000 ","$850,000 ","$1,700,000 "
2022, Jan ,"$152,000 ","$860,000 ","$1,720,000 "
2022, Feb ,"$154,000 ","$870,000 ","$1,740,000 "
2022, Mar ,"$156,000 ","$880,000 ","$1,760,000 "
2022, Apr ,"$158,000 ","$890,000 ","$1,780,000 "
2022, May ,"$160,000 ","$900,000 ","$1,800,000 "
2022, Jun ,"$162,000 ","$910,000 ","$1,820,000 "
2022, Jul ,"$164,000 ","$920,000 ","$1,840,000 "
2022, Aug ,"$166,000 ","$930,000 ","$1,860,000 "
2022, Sep ,"$168,000 ","$940,000 ","$1,880,000 "
2022, Oct ,"$170,000 ","$950,000 ","$1,900,000 "
2022, Nov ,"$172,000 ","$960,000 ","$1,920,000 "
2022, Dec ,"$174,000 ","$970,000 ","$1,940,000 "
2023, Jan ,"$176,000 ","$980,000 ","$1,960,000 "
2023, Feb ,"$178,000 ","$990,000 ","$1,980,000 "
2023, Mar ,"$180,000 ","$1,000,000 ","$2,000,000 "
2023, Apr ,"$182,000 ","$1,010,000 ","$2,020,000 "
2023, May ,"$184,000 ","$1,020,000 ","$2,040,000 "
2023, Jun ,"$186,000 ","$1,030,000 ","$2,060,000 "
2023, Jul ,"$188,000 ","$1,040,000 ","$2,080,000 "
2023, Aug ,"$190,000 ","$1,050,000 ","$2,100,000 "
2023, Sep ,"$192,000 ","$1,060,000 ","$2,120,000 "
2023, Oct ,"$194,000 ","$1,070,000 ","$2,140,000 "
2023, Nov ,"$196,000 ","$1,080,000 ","$2,160,000 "
2023, Dec ,"$198,000 ","$1,090,000 ","$2,180,000 "
2024, Jan ,"$200,000 ","$1,100,000 ","$2,200,000 "
2024, Feb ,"$202,000 ","$1,110,000 ","$2,220,000 "
2024, Mar ,"$204,000 ","$1,120,000 ","$2,240,000 "
2024, Apr ,"$206,000 ","$1,130,000 ","$2,260,000 "
2024, May ,"$208,000 ","$1,140,000 ","$2,280,000 "
2024, Jun ,"$210,000 ","$1,150,000 ","$2,300,000 "
2024, Jul ,"$212,000 ","$1,160,000 ","$2,320,000 "
2024, Aug ,"$214,000 ","$1,170,000 ","$2,340,000 "
2024, Sep ,"$216,000 ","$1,180,000 ","$2,360,000 "
2024, Oct ,"$218,000 ","$1,190,000 ","$2,380,000 "
2024, Nov ,"$220,000 ","$1,200,000 ","$2,400,000 "
2024, Dec ,"$222,000 ","$1,210,000 ","$2,420,000 "
2025, Jan ,"$224,000 ","$1,220,000 ","$2,440,000 "
2025, Feb ,"$226,000 ","$1,230,000 ","$2,460,000 "
2025, Mar ,"$228,000 ","$1,240,000 ","$2,480,000 "
2025, Apr ,"$230,000 ","$1,250,000 ","$2,500,000 "
2025, May ,"$232,000 ","$1,260,000 ","$2,520,000 "
